App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,"5,000,000",Free,0,Everyone,Books & Reference,27-May-18,1.91180527,2.3
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13,"100,000",Free,0,Everyone,Books & Reference,17-Jul-18,1,4.0.3 
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,"10,000,000",Free,0,Everyone,Books & Reference,11-Jul-18,9.1.363,4.1
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,"500,000",Free,0,Everyone,Books & Reference,4-Aug-18,1.1.6,4.0.3 
Spanish English Translator,BOOKS_AND_REFERENCE,4.2,87873,0,"10,000,000",Free,0,Teen,Books & Reference,28-May-18,0,0
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17,"1,000,000",Free,0,Everyone,Books & Reference,20-Jul-18,2.3.18,4.1
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19,"1,000,000",Free,0,Everyone,Books & Reference,27-Apr-18,2.2.5,4.1
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,"500,000",Free,0,Everyone,Books & Reference,17-May-18,15,2.3
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21,"1,000,000",Free,0,Everyone,Books & Reference,2-Jun-18,18.05.31+530,4.1
NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080,0,"500,000",Free,0,Everyone,Books & Reference,25-Apr-18,0,0
Anonymous caller detection,BOOKS_AND_REFERENCE,0,161,2.7,"10,000",Free,0,Everyone,Books & Reference,13-Jul-18,1,2.3
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37,"5,000,000",Free,0,Everyone,Books & Reference,25-Jun-18,5.0.6,4
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15,"100,000",Free,0,Teen,Books & Reference,4-Jul-18,1.2.3,4
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23,"5,000,000",Free,0,Mature 17+,Books & Reference,29-Jun-18,3.12,4.1
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19,"500,000",Free,0,Everyone,Books & Reference,23-Nov-17,2,4.0.3 
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23,"1,000,000",Free,0,Everyone,Books & Reference,20-Jun-18,1.28,3
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73,"500,000",Free,0,Everyone,Books & Reference,1-Aug-18,6.0.8,4.0.3 
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,"500,000",Free,0,Mature 17+,Books & Reference,16-Oct-14,1.0.3,2.1
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,"1,000,000",Free,0,Everyone,Books & Reference,11-Jul-18,1.9,4.4
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,0,"5,000,000",Free,0,Everyone,Books & Reference,31-Jul-18,0,0
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,0,"10,000,000",Free,0,Everyone,Books & Reference,28-Aug-17,9.00.950462,7
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,"100,000",Free,0,Everyone,Books & Reference,31-Mar-18,14,4
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,"100,000",Free,0,Everyone,Books & Reference,28-May-18,6,4.0.3 
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4,"100,000",Free,0,Everyone,Books & Reference,20-Aug-16,3.05,4.0.3 
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21,"50,000",Free,0,Everyone,Books & Reference,17-Jul-18,2,3
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,"500,000",Free,0,Everyone,Books & Reference,16-Jun-18,1.5,3
Moon+ Reader,BOOKS_AND_REFERENCE,4.4,233757,0,"10,000,000",Free,0,Everyone,Books & Reference,1-May-18,0,0
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,0,2,7.2,"50,000",Free,0,Everyone,Books & Reference,15-Jun-18,3,6
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10,"1,000,000",Free,0,Everyone,Books & Reference,28-Jul-18,2.5.3,4
